"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"XhavitZariqiOfficial","2017-10-09","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-09","0","0","0","0","0","ALT","Gjakova"
"1555763194717660","2017-10-09","0","0","0","0","0","AAK","Istog"
"CaushiDriton","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"imri.ahmeti","2017-10-09","0","0","0","0","0","LDK","Lipjan"
"sabihashalaofficial","2017-10-09","0","0","0","0","0","PDK","Peja"
"pdkdegaviti","2017-10-09","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"ramizlladrovci","2017-10-09","0","0","0","0","0","PDK","Drenas"
"1891305244219623","2017-10-09","0","0","0","0","0","AAK","DeÃ§an"
"oliverivanovickos","2017-10-09","0","0","0","0","0","IQ","Mitrovica Veriore"
"1914605832085405","2017-10-09","0","0","0","0","0","SL","Partesh"
"SamiKurteshi13","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-09","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-09","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-09","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-09","0","0","0","0","0","KP","Shtime"
"gradonacelnikjablanovic","2017-10-09","0","0","0","0","0","PKS","Leposaviq"
"AjetPotera2017","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BekimHamezJashari","2017-10-09","0","0","0","0","0","KP","Skenderaj"
"xhafertahiriofficial","2017-10-09","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-09","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-09","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-09","0","0","0","0","0","AAK","KlinÃ«"
"Agim.Bahtirii","2017-10-09","0","0","0","0","0","AKR","Mitrovica"
"pdkmalisheva","2017-10-09","0","0","0","0","0","PDK","MalishevÃ«"
"mhaskukaa","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"BurimBerishaOfficial","2017-10-09","0","0","0","0","0","LDK","FushÃ« KosovÃ«"
"Dr.IdrizVehapi","2017-10-09","0","0","0","0","0","PDK","Rahovec"
"xhemajlajisa","2017-10-09","0","0","0","0","0","NISMA","Drenas"
"310775596061589","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ShkelqimMJakupi","2017-10-09","0","0","0","0","0","LDK","KaÃ§anik"
"ardiangjiniaak","2017-10-09","0","0","0","0","0","AAK","Gjakova"
"selimshabanldk47","2017-10-09","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"hazirilutfi","2017-10-09","0","0","0","0","0","LDK","Gjilan"
"Agron.Avdijaj10","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-09","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-09","0","0","0","0","0","AAK","Gjilan"
"selimpacolliofficial","2017-10-09","0","0","0","0","0","AKR","Prishtina"
"safetkamberipermitrovicen","2017-10-09","0","0","0","0","0","LDK","Mitrovica"
"SelatinRetkoceriVV","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"gazmuhaxheri","2017-10-09","0","0","0","0","0","LDK","Peja"
"RamadanHotii","2017-10-09","0","0","0","0","0","PDK","Gjakova"
"SmajlLatifi50","2017-10-09","0","0","0","0","0","AAK","Rahovec"
"ProfDrBeqirSadikaj","2017-10-09","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-09","0","0","0","0","0","KTAP","Mamusha"
"BesimIlaziPDK","2017-10-09","0","0","0","0","0","PDK","KaÃ§anik"
"491857897815166","2017-10-09","0","0","0","0","0","PDK","PodujevÃ«"
"XhaferGashiPerObiliq","2017-10-09","0","0","0","0","0","AAK","Obiliq"
"505468136208097","2017-10-09","0","0","0","0","0","LDK","Istog"
"sokolihaliti.official","2017-10-09","0","0","0","0","0","LDK","Viti"
"DrHatimBaxhaku","2017-10-09","0","0","0","0","0","LDK","Prizren"
"QendronKastrati10","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-09","0","0","0","0","0","NISMA","MalishevÃ«"
"ShpendAhmetii","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"HajrushKurtajOfficial","2017-10-09","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-09","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"pdknaimismajli","2017-10-09","0","0","0","0","0","PDK","Shtime"
"ldkjunikfaqjazyrtare","2017-10-09","0","0","0","0","0","LDK","Junik"
"bnurboja","2017-10-09","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"ZenunPajazitiOfficial","2017-10-09","0","0","0","0","0","PDK","Gjilan"
"abrashiarban","2017-10-09","0","0","0","0","0","LDK","Prishtina"
"IsmetHajrullahuPDK","2017-10-09","0","0","0","0","0","PDK","Lipjan"
"AgimVeliu","2017-10-09","0","0","0","0","0","LDK","PodujevÃ«"
"muharremsvarqazyrtare","2017-10-09","0","0","0","0","0","LDK","Ferizaj"
"910656602314125","2017-10-09","0","0","0","0","0","LDK","Sharr"
"101664896548627","2017-10-08","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-08","0","0","0","0","0","AAK","Prizren"
"vllahiuarber","2017-10-08","0","0","0","0","0","AAK","Prishtina"
"aaksuharekeofficial","2017-10-08","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"mal.lokaj1","2017-10-08","0","0","0","0","0","LDK","DeÃ§an"
"shaqirtotaj","2017-10-08","0","0","0","0","0","PDK","Prizren"
"130664660988134","2017-10-08","0","0","0","0","0","SL","Mitrovica Veriore"
"besimhotikline","2017-10-08","0","0","0","0","0","LDK","KlinÃ«"
"BlerandKadrijajofficial","2017-10-08","0","0","0","0","0","PDK","DeÃ§an"
"validrizi","2017-10-08","0","0","0","0","0","PDK","Mitrovica"
"BlerimiperSuhareke","2017-10-08","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-08","0","0","0","0","0","PDK","KlinÃ«"
"fatmirgashipeje","2017-10-08","0","0","0","0","0","AAK","Peja"
"LvvKacanik","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-08","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-08","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-08","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-08","0","0","0","0","0","ALT","Gjakova"
"1555763194717660","2017-10-08","0","0","0","0","0","AAK","Istog"
"CaushiDriton","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"imri.ahmeti","2017-10-08","0","0","0","0","0","LDK","Lipjan"
"sabihashalaofficial","2017-10-08","0","0","0","0","0","PDK","Peja"
"pdkdegaviti","2017-10-08","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"ramizlladrovci","2017-10-08","0","0","0","0","0","PDK","Drenas"
"1891305244219623","2017-10-08","0","0","0","0","0","AAK","DeÃ§an"
"oliverivanovickos","2017-10-08","0","0","0","0","0","IQ","Mitrovica Veriore"
"1914605832085405","2017-10-08","0","0","0","0","0","SL","Partesh"
"SamiKurteshi13","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-08","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-08","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-08","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-08","0","0","0","0","0","KP","Shtime"
"gradonacelnikjablanovic","2017-10-08","0","0","0","0","0","PKS","Leposaviq"
"AjetPotera2017","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BekimHamezJashari","2017-10-08","0","0","0","0","0","KP","Skenderaj"
"xhafertahiriofficial","2017-10-08","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-08","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-08","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-08","0","0","0","0","0","AAK","KlinÃ«"
"Agim.Bahtirii","2017-10-08","0","0","0","0","0","AKR","Mitrovica"
"pdkmalisheva","2017-10-08","0","0","0","0","0","PDK","MalishevÃ«"
"mhaskukaa","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"BurimBerishaOfficial","2017-10-08","0","0","0","0","0","LDK","FushÃ« KosovÃ«"
"Dr.IdrizVehapi","2017-10-08","0","0","0","0","0","PDK","Rahovec"
"xhemajlajisa","2017-10-08","0","0","0","0","0","NISMA","Drenas"
"310775596061589","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ShkelqimMJakupi","2017-10-08","0","0","0","0","0","LDK","KaÃ§anik"
"ardiangjiniaak","2017-10-08","0","0","0","0","0","AAK","Gjakova"
"selimshabanldk47","2017-10-08","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"hazirilutfi","2017-10-08","0","0","0","0","0","LDK","Gjilan"
"Agron.Avdijaj10","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-08","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-08","0","0","0","0","0","AAK","Gjilan"
"selimpacolliofficial","2017-10-08","0","0","0","0","0","AKR","Prishtina"
"safetkamberipermitrovicen","2017-10-08","0","0","0","0","0","LDK","Mitrovica"
"SelatinRetkoceriVV","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"gazmuhaxheri","2017-10-08","0","0","0","0","0","LDK","Peja"
"RamadanHotii","2017-10-08","0","0","0","0","0","PDK","Gjakova"
"SmajlLatifi50","2017-10-08","0","0","0","0","0","AAK","Rahovec"
"ProfDrBeqirSadikaj","2017-10-08","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-08","0","0","0","0","0","KTAP","Mamusha"
"BesimIlaziPDK","2017-10-08","0","0","0","0","0","PDK","KaÃ§anik"
"491857897815166","2017-10-08","0","0","0","0","0","PDK","PodujevÃ«"
"XhaferGashiPerObiliq","2017-10-08","0","0","0","0","0","AAK","Obiliq"
"505468136208097","2017-10-08","0","0","0","0","0","LDK","Istog"
"sokolihaliti.official","2017-10-08","0","0","0","0","0","LDK","Viti"
"DrHatimBaxhaku","2017-10-08","0","0","0","0","0","LDK","Prizren"
"QendronKastrati10","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-08","0","0","0","0","0","NISMA","MalishevÃ«"
"ShpendAhmetii","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"HajrushKurtajOfficial","2017-10-08","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-08","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"pdknaimismajli","2017-10-08","0","0","0","0","0","PDK","Shtime"
"ldkjunikfaqjazyrtare","2017-10-08","0","0","0","0","0","LDK","Junik"
"bnurboja","2017-10-08","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"ZenunPajazitiOfficial","2017-10-08","0","0","0","0","0","PDK","Gjilan"
"abrashiarban","2017-10-08","0","0","0","0","0","LDK","Prishtina"
"IsmetHajrullahuPDK","2017-10-08","0","0","0","0","0","PDK","Lipjan"
"AgimVeliu","2017-10-08","0","0","0","0","0","LDK","PodujevÃ«"
"muharremsvarqazyrtare","2017-10-08","0","0","0","0","0","LDK","Ferizaj"
"910656602314125","2017-10-08","0","0","0","0","0","LDK","Sharr"
"101664896548627","2017-10-07","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-07","0","0","0","0","0","AAK","Prizren"
"vllahiuarber","2017-10-07","0","0","0","0","0","AAK","Prishtina"
"aaksuharekeofficial","2017-10-07","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"mal.lokaj1","2017-10-07","0","0","0","0","0","LDK","DeÃ§an"
"shaqirtotaj","2017-10-07","0","0","0","0","0","PDK","Prizren"
"130664660988134","2017-10-07","0","0","0","0","0","SL","Mitrovica Veriore"
"besimhotikline","2017-10-07","0","0","0","0","0","LDK","KlinÃ«"
"BlerandKadrijajofficial","2017-10-07","0","0","0","0","0","PDK","DeÃ§an"
"validrizi","2017-10-07","0","0","0","0","0","PDK","Mitrovica"
"BlerimiperSuhareke","2017-10-07","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-07","0","0","0","0","0","PDK","KlinÃ«"
"fatmirgashipeje","2017-10-07","0","0","0","0","0","AAK","Peja"
"LvvKacanik","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-07","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-07","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-07","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-07","0","0","0","0","0","ALT","Gjakova"
"1555763194717660","2017-10-07","0","0","0","0","0","AAK","Istog"
"CaushiDriton","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"imri.ahmeti","2017-10-07","0","0","0","0","0","LDK","Lipjan"
"sabihashalaofficial","2017-10-07","0","0","0","0","0","PDK","Peja"
"pdkdegaviti","2017-10-07","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"ramizlladrovci","2017-10-07","0","0","0","0","0","PDK","Drenas"
"1891305244219623","2017-10-07","0","0","0","0","0","AAK","DeÃ§an"
"oliverivanovickos","2017-10-07","0","0","0","0","0","IQ","Mitrovica Veriore"
"1914605832085405","2017-10-07","0","0","0","0","0","SL","Partesh"
"SamiKurteshi13","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-07","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-07","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-07","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-07","0","0","0","0","0","KP","Shtime"
"gradonacelnikjablanovic","2017-10-07","0","0","0","0","0","PKS","Leposaviq"
"AjetPotera2017","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BekimHamezJashari","2017-10-07","0","0","0","0","0","KP","Skenderaj"
"xhafertahiriofficial","2017-10-07","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-07","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-07","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-07","0","0","0","0","0","AAK","KlinÃ«"
"Agim.Bahtirii","2017-10-07","0","0","0","0","0","AKR","Mitrovica"
"pdkmalisheva","2017-10-07","0","0","0","0","0","PDK","MalishevÃ«"
"mhaskukaa","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"BurimBerishaOfficial","2017-10-07","0","0","0","0","0","LDK","FushÃ« KosovÃ«"
"Dr.IdrizVehapi","2017-10-07","0","0","0","0","0","PDK","Rahovec"
"xhemajlajisa","2017-10-07","0","0","0","0","0","NISMA","Drenas"
"310775596061589","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ShkelqimMJakupi","2017-10-07","0","0","0","0","0","LDK","KaÃ§anik"
"ardiangjiniaak","2017-10-07","0","0","0","0","0","AAK","Gjakova"
"selimshabanldk47","2017-10-07","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"hazirilutfi","2017-10-07","0","0","0","0","0","LDK","Gjilan"
"Agron.Avdijaj10","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-07","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-07","0","0","0","0","0","AAK","Gjilan"
"selimpacolliofficial","2017-10-07","0","0","0","0","0","AKR","Prishtina"
"safetkamberipermitrovicen","2017-10-07","0","0","0","0","0","LDK","Mitrovica"
"SelatinRetkoceriVV","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"gazmuhaxheri","2017-10-07","0","0","0","0","0","LDK","Peja"
"RamadanHotii","2017-10-07","0","0","0","0","0","PDK","Gjakova"
"SmajlLatifi50","2017-10-07","0","0","0","0","0","AAK","Rahovec"
"ProfDrBeqirSadikaj","2017-10-07","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-07","0","0","0","0","0","KTAP","Mamusha"
"BesimIlaziPDK","2017-10-07","0","0","0","0","0","PDK","KaÃ§anik"
"491857897815166","2017-10-07","0","0","0","0","0","PDK","PodujevÃ«"
"XhaferGashiPerObiliq","2017-10-07","0","0","0","0","0","AAK","Obiliq"
"505468136208097","2017-10-07","0","0","0","0","0","LDK","Istog"
"sokolihaliti.official","2017-10-07","0","0","0","0","0","LDK","Viti"
"DrHatimBaxhaku","2017-10-07","0","0","0","0","0","LDK","Prizren"
"QendronKastrati10","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-07","0","0","0","0","0","NISMA","MalishevÃ«"
"ShpendAhmetii","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"HajrushKurtajOfficial","2017-10-07","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-07","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"pdknaimismajli","2017-10-07","0","0","0","0","0","PDK","Shtime"
"ldkjunikfaqjazyrtare","2017-10-07","0","0","0","0","0","LDK","Junik"
"bnurboja","2017-10-07","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"ZenunPajazitiOfficial","2017-10-07","0","0","0","0","0","PDK","Gjilan"
"abrashiarban","2017-10-07","0","0","0","0","0","LDK","Prishtina"
"IsmetHajrullahuPDK","2017-10-07","0","0","0","0","0","PDK","Lipjan"
"AgimVeliu","2017-10-07","0","0","0","0","0","LDK","PodujevÃ«"
"muharremsvarqazyrtare","2017-10-07","0","0","0","0","0","LDK","Ferizaj"
"910656602314125","2017-10-07","0","0","0","0","0","LDK","Sharr"
"101664896548627","2017-10-06","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-06","0","0","0","0","0","AAK","Prizren"
"vllahiuarber","2017-10-06","0","0","0","0","0","AAK","Prishtina"
"aaksuharekeofficial","2017-10-06","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"mal.lokaj1","2017-10-06","0","0","0","0","0","LDK","DeÃ§an"
"shaqirtotaj","2017-10-06","0","0","0","0","0","PDK","Prizren"
"130664660988134","2017-10-06","0","0","0","0","0","SL","Mitrovica Veriore"
"besimhotikline","2017-10-06","0","0","0","0","0","LDK","KlinÃ«"
"BlerandKadrijajofficial","2017-10-06","0","0","0","0","0","PDK","DeÃ§an"
"validrizi","2017-10-06","0","0","0","0","0","PDK","Mitrovica"
"BlerimiperSuhareke","2017-10-06","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-06","0","0","0","0","0","PDK","KlinÃ«"
"fatmirgashipeje","2017-10-06","0","0","0","0","0","AAK","Peja"
"LvvKacanik","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-06","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-06","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-06","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-06","0","0","0","0","0","ALT","Gjakova"
"1555763194717660","2017-10-06","0","0","0","0","0","AAK","Istog"
"CaushiDriton","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"imri.ahmeti","2017-10-06","0","0","0","0","0","LDK","Lipjan"
"sabihashalaofficial","2017-10-06","0","0","0","0","0","PDK","Peja"
"pdkdegaviti","2017-10-06","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"ramizlladrovci","2017-10-06","0","0","0","0","0","PDK","Drenas"
"1891305244219623","2017-10-06","0","0","0","0","0","AAK","DeÃ§an"
"oliverivanovickos","2017-10-06","0","0","0","0","0","IQ","Mitrovica Veriore"
"1914605832085405","2017-10-06","0","0","0","0","0","SL","Partesh"
"SamiKurteshi13","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"feritidrizii","2017-10-06","0","0","0","0","0","PDK","Vushtrri"
"1940058396319659","2017-10-06","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-06","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-06","0","0","0","0","0","KP","Shtime"
"gradonacelnikjablanovic","2017-10-06","0","0","0","0","0","PKS","Leposaviq"
"AjetPotera2017","2017-10-06","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BekimHamezJashari","2017-10-06","0","0","0","0","0","KP","Skenderaj"
"xhafertahiriofficial","2017-10-06","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-06","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-06","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-06","0","0","0","0","0","AAK","KlinÃ«"
